date,generation_mwh_per_mw,asset_id,asset_name,technology,latitude,longitude,capacity_mw,ownership_fraction,generation_mwh_est,generation_mwh_est_owned,temp_2m_k,temp_2m_c,precip_m,precip_mm,solar_radiation_j_m2,wind_u10,wind_v10,wind_speed_10m,selected_grid_lat,selected_grid_lon,country,ownership_pct,operational_status,start_of_operations,commissioning_year,portfolio_capacity_pct,remaining_asset_life_years,power_price_gbp_mwh,generation_per_mw,revenue_proxy_gbp,year,month,pre_operational_flag,temp_2m_c_lag1,precip_mm_lag1,solar_radiation_j_m2_lag1,wind_speed_10m_lag1,power_price_gbp_mwh_lag1,temp_2m_c_roll3_mean,precip_mm_roll3_mean,solar_radiation_j_m2_roll3_mean,wind_speed_10m_roll3_mean,temp_2m_c_anomaly,precip_mm_anomaly,solar_radiation_j_m2_anomaly,wind_speed_10m_anomaly
2018-08-01,0.207576,ONW_002,Crossdykes,onshore_wind,55.1941,-3.1698,23.0,0.51,4.774248,2.43486648,286.48846,13.33847,0.0037516374,3.7516375,11384100.0,1.671278,1.3578453,2.1533496,55.20000000000135,356.80000000001263,UK,51%,operational,2021-06-30,4,3%,26,29.79008083529808,0.10586376,72.5348692623577,2018,8,1,15.920013,2.1841164,17116796.0,1.152191,28.2461600810537,13.589620000000002,2.2485465000000002,18788226.0,0.7469051333333333,-0.5436014285714279,-0.4086927714285711,-597273.7142857146,0.6299241642857141
2018-09-01,0.3160799999999999,ONW_002,Crossdykes,onshore_wind,55.1941,-3.1698,23.0,0.51,7.269839999999999,3.7076184,283.7893,10.639313,0.0035364775,3.5364776,8500372.0,2.4349194,1.4563351,2.837207,55.20000000000135,356.80000000001263,UK,51%,operational,2021-06-30,4,3%,26,31.739821989528796,0.1612008,117.67914802110157,2018,9,1,13.33847,3.7516375,11384100.0,2.1533496,29.79008083529808,14.380828666666666,3.0777178999999997,16142817.333333334,1.3132726866666664,-1.2056098571428588,0.8308328714285715,656412.3571428573,1.448340934285714
2018-10-01,0.314712,ONW_002,Crossdykes,onshore_wind,55.1941,-3.1698,23.0,0.51,7.238376,3.69157176,281.32343,8.173431,0.0037431524,3.7431524,5121409.5,1.5870752,0.83957577,1.7954652,55.20000000000135,356.80000000001263,UK,51%,operational,2021-06-30,4,3%,26,30.940597119775205,0.16050312,114.21943456489949,2018,10,1,10.639313,3.5364776,8500372.0,2.837207,31.739821989528796,13.299265333333333,3.1574105000000006,12333756.0,2.0475825333333333,-0.6538960571428571,-0.4147937571428568,861235.4142857138,0.33575339571428575
2018-11-01,0.33192,ONW_002,Crossdykes,onshore_wind,55.1941,-3.1698,23.0,0.51,7.63416,3.8934216,279.5733,6.4233093,0.004961605,4.961605,2449548.0,-0.8738947,1.7387228,1.9459827,55.20000000000135,356.80000000001263,UK,51%,operational,2021-06-30,4,3%,26,30.944116989567807,0.1692792,120.47849348011027,2018,11,1,8.173431,3.7431524,5121409.5,1.7954652,30.940597119775205,10.717071333333331,3.6770891666666667,8335293.833333333,2.2620072666666666,0.7796325285714278,1.9676545428571424,349588.57142857136,0.15309705714285715
2018-12-01,0.274536,ONW_002,Crossdykes,onshore_wind,55.1941,-3.1698,23.0,0.51,6.314328,3.22030728,277.35217,4.202179,0.003280005,3.280005,1340388.0,0.6544256,1.5088587,1.6446663,55.20000000000135,356.80000000001263,UK,51%,operational,2021-06-30,4,3%,26,30.68323092505064,0.14001336,98.80943192186172,2018,12,1,6.4233093,4.961605,2449548.0,1.9459827,30.944116989567807,8.412017766666667,4.0804116666666665,5357109.833333333,2.1928849666666665,0.46957834285714295,-0.1365896285714281,233288.85714285704,0.09758667142857158
2019-01-01,0.26412,ONW_002,Crossdykes,onshore_wind,55.1941,-3.1698,23.0,0.51,6.07476,3.0981276,275.07306,1.9230652,0.0011008697,1.1008698,2380376.0,1.7084846,-0.021673203,1.7086221,55.20000000000135,356.80000000001263,UK,51%,operational,2021-06-30,4,3%,26,30.07315036722072,0.13470120000000002,93.17045717163666,2019,1,1,4.202179,3.280005,1340388.0,1.6446663,30.68323092505064,6.266306433333334,3.9949208000000005,2970448.5,1.7953713999999998,-0.7060677085714286,-1.7318360285714283,600350.2857142857,-0.4767148857142858
2019-02-01,0.301728,ONW_002,Crossdykes,onshore_wind,55.1941,-3.1698,23.0,0.51,6.939744,3.53926944,278.17374,5.0237427,0.0031946797,3.1946797,4837616.0,1.3917322,2.2070742,2.6092327,55.20000000000135,356.80000000001263,UK,51%,operational,2021-06-30,4,3%,26,24.533755117231113,0.15388128,86.8315697348597,2019,2,1,1.9230652,1.1008698,2380376.0,1.7086221,30.07315036722072,4.182851166666667,3.114159933333333,2056770.6666666667,1.7664237,1.3932190285714285,-1.0111640285714287,1026323.4285714286,0.08952767142857132
2019-03-01,0.348192,ONW_002,Crossdykes,onshore_wind,55.1941,-3.1698,23.0,0.51,8.008416,4.08429216,278.10236,4.952362,0.004957854,4.957854,7567872.0,2.68748,1.2922516,2.9820232,55.20000000000135,356.80000000001263,UK,51%,operational,2021-06-30,4,3%,26,21.168619063657797,0.17757792000000003,86.45882487972409,2019,3,1,5.0237427,3.1946797,4837616.0,2.6092327,24.533755117231113,3.716328966666667,2.5251848333333333,2852793.3333333335,1.9875070333333333,0.48629317142857165,1.8123294857142858,-162011.21428571455,1.3838947428571429
2019-04-01,0.21744,ONW_002,Crossdykes,onshore_wind,55.1941,-3.1698,23.0,0.51,5.00112,2.5505712000000003,280.568,7.4179993,0.0015816947,1.5816947,14252606.0,-1.9411764,0.21304989,1.9528328,55.20000000000135,356.80000000001263,UK,51%,operational,2021-06-30,4,3%,26,21.614812239221138,0.11089440000000002,55.13011759076495,2019,4,1,4.952362,4.957854,7567872.0,2.9820232,21.168619063657797,3.9663899666666667,3.0844678333333335,4928621.333333333,2.4332926666666665,0.8635515285714286,-0.4047286099999998,1131168.571428571,1.140446237142857
2019-05-01,0.160704,ONW_002,Crossdykes,onshore_wind,55.1941,-3.1698,23.0,0.51,3.696192,1.88505792,282.16962,9.019623,0.0021378961,2.137896,16634854.0,0.49820805,-0.20901108,0.5402748,55.20000000000135,356.80000000001263,UK,51%,operational,2021-06-30,4,3%,26,19.958670303443572,0.08195904,37.62324952817511,2019,5,1,7.4179993,1.5816947,14252606.0,1.9528328,21.614812239221138,5.798034666666666,3.2447427999999996,8886031.333333334,2.5146962333333334,-1.2242257142857156,-0.33923172857142836,976093.7142857146,-0.20818728285714272
